state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
MD,Frederick County Public Schools,189882,2020,960164547,0,40353913,31945115,0,0,41209266,0,812253229,0,9102639,5574472,167968413,86498795,458573096,-7881761,726496537,0,0,0,718614776,frederick,2400330,Frederick County Public Schools,Frederick County,43828
CA,Clovis Unified School District,146030,2020,1486986076,452098291,59856527,13867888,0,0,489521762,0,424477600,0,3473663,16059272,90249426,41479499,497934063,27923841,617798419,0,0,0,645722260,clovis unified,0609030,Clovis Unified,Fresno County,43654
FL,St. Johns County School District,189129,2020,510351766,35000860,23137850,0,0,9356000,212334986,0,26203755,0,33149551,27475122,15031125,28326810,447109984,60729550,457213491,62267668,0,0,517943041,st johns,1201740,ST. JOHNS,St. Johns County,43628
FL,Sarasota County District School Board,70160,2020,528129886,4602207,58374787,17051152,0,0,281295504,0,11825499,0,14486976,6477457,45729050,7911018,566377049,29501275,596993299,60402772,0,0,626494574,sarasota,1201680,SARASOTA,Sarasota County,43485
KY,Fayette County Public Schools,33654,2020,826524400,427804764,59685053,9159507,0,0,166598548,0,156850924,0,6425604,5566946,50157904,4770376,570611325,-5127407,636233958,0,0,0,631106551,fayette,2101860,Fayette County,Fayette County,43342
FL,Marion District School Board County,32408,2020,402832761,5501570,15661340,0,0,14430984,250125899,0,19838239,0,33891733,8079496,22108361,1982457,421802441,-19198634,473171389,0,0,0,453972755,marion,1201260,MARION,Marion County,43230
TX,United Independent School District,39239,2020,952490231,576394343,44901047,3977691,5040517,0,142191411,0,173952257,0,5307035,5102715,70594253,0,447313154,-21390986,544401108,42570587,24573,0,523010122,united,4843650,UNITED ISD,Webb County,43033
TX,Brownsville Independent School District,38854,2020,586322178,120605845,94971732,2552317,0,42043292,140539681,0,184854403,0,754908,2128548,96636967,0,480053023,7329572,571488966,0,0,0,578818538,brownsville,4811680,BROWNSVILLE ISD,Cameron County,43028
GA,Henry County Board of Education,32581,2020,1132140361,0,74461183,0,0,0,398450811,0,258075856,0,1890180,8237754,265413722,2448178,255374545,22858032,508616167,0,0,0,531474199,henry,1302820,Henry County,Henry County,43009
GA,Cherokee County School District,105267,2020,1227419416,472710291,59972834,0,0,0,419413252,0,273784693,0,1538346,8179194,259413966,4500880,256607042,2915041,525786041,0,0,0,528701082,cherokee,1301110,Cherokee County,Cherokee County,42766
TX,Clear Creek Independent School District,38948,2020,1400136500,1067559573,68668106,0,0,0,119560786,0,139419865,0,4928170,18672978,66999736,0,425024622,-12925719,523623055,7807098,4084630,0,510697336,clear creek,4814280,CLEAR CREEK ISD,Galveston County,42388
